shelfmark,title,additional_titles,authors,language,language_codes,date,place,source_file
Ms. Coll. 390 Item 957,Three early upaniṣads,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item957/data/mscoll390_item957_TEI.xml
Ms. Coll. 390 Item 2182,Durgāstotra|[दुर्गास्तोत्र],"","",In Sanskrit (Devanāgarī),san,"","",Data/0002/mscoll390_item2182/data/mscoll390_item2182_TEI.xml
Ms. Coll. 390 Item 3050,Mitākṣarā.|मिताक्षरा,"","Vijñāneśvara, active 11th century",In Sanskrit,san,"","",Data/0002/mscoll390_item3050/data/mscoll390_item3050_TEI.xml
Ms. Codex 385,"Instruttioni e lettere dell' illustrissimo et reverendissimo signore Don Carlo Cardinale Carafa, nipote di Papa Paolo IV, concernenti le controversie e li dispareri con la corona di Spagna cioè Filippo II e Carlo V con il sudetto pontifice massimo","","",Italian,"",between 1600 and 1650,Italy,Data/0002/mscodex385/data/mscodex385_TEI.xml
Ms. Coll. 390 Item 359,Sārasaṃgraha|सारसंग्रह,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item359/data/mscoll390_item359_TEI.xml
Halper 15,"Numbers 16:30-17:4, with Masorah magna and parva","","",Hebrew,heb,"",Orient,Data/0002/h015/data/h015_TEI.xml
Ms. Coll. 390 Item 1535,Raghuvaṃśa|रघुवंश,"",Kālidāsa,In Sanskrit,san,"","",Data/0002/mscoll390_item1535/data/mscoll390_item1535_TEI.xml
Ms. Codex 1021,Informatio de statu episcopatus Vaciensis,"","",Latin,"",1675,Austria?,Data/0002/mscodex1021/data/mscodex1021_TEI.xml
Ms. Codex 976,"La chambre des comptes d'Innocent XI, dialogue","La chambre des comptes d'Innocent XI, dialogue, p. 1|Epitaphe d'Innocent XI, p. 93|Arrete?s passant et ecoute?s, p. 95","","French, with some Italian phrases, and epitaphs in Latin and French",fre|ita|lat,between 1676 and 1690,France,Data/0002/mscodex976/data/mscodex976_TEI.xml
Ms. Codex 378,Storia dell'impero d'occidente,"","",Italian,ita,1792-1799,Italy,Data/0002/mscodex378/data/mscodex378_TEI.xml
Ms. Codex 1213,Bremer-Cronica de anno Christi 449 usque ad annum 1529,"","","German, with some documents or passages in Latin (p. 34, 105-108, 131-134, 150-152, 164-165, 174, 302)",ger|lat,between 1700 and 1750,Bremen or Lower Saxony?,Data/0002/mscodex1213/data/mscodex1213_TEI.xml
Ms. Coll. 390 Item 196,Bhūṣaṇasāra|भूषणसार,"",Kauṇḍabhaṭṭa|Āpadeva,In Sanskrit,san,"","",Data/0002/mscoll390_item196/data/mscoll390_item196_TEI.xml
Ms. Coll. 390 Item 58,Saptasaṃsthānirṇayaprayoga|सप्तसंस्थानिर्णयप्रयोग,"","Divākarabhaṭṭa, 17th cent",In Sanskrit,san,"","",Data/0002/mscoll390_item58/data/mscoll390_item58_TEI.xml
378.748 POM 26.6,A dissertation on Amenorrhoea /,Title page,"Jiggitts, Lewis M","",eng,1818,"",Data/0002/378_748_pom_26_6/data/378_748_pom_26_6_TEI.xml
CAJS Rar Ms 69,Ḳeṭaʻa shel luʾaḥ shanah.|קטע של לוח שנה,"","",Judeo-Arabic,jrb,"","",Data/0002/kcajs_rar_ms69/data/kcajs_rar_ms69_TEI.xml
Ms. Coll. 700 Item 198,Rudimentos gramaticales ú oserbaciones en ydioma tzotzil de Cinacantlan,"","",Spanish and Tzotzil,spa|myn,between 1800 and 1850?,Mexico?,Data/0002/mscoll700_item198/data/mscoll700_item198_TEI.xml
Ms. Codex 1677,Ars artium ... etc..,"Table of contents, p. 190|Blank leaves begin|Blank leaves end","Dee, John, 1527-1608|Ashmole, Elias, 1617-1692|Napier, Richard, 1559-1634","English, Latin, and French, with occasional words in Greek and Hebrew",eng|lat|fre|gre|heb,1787,England,Data/0002/mscodex1677/data/mscodex1677_TEI.xml
Ms. Coll. 390 Item 2729,Mahiṣīdānaprayoga|महिषीदानप्रयोग,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2729/data/mscoll390_item2729_TEI.xml
378.748 POM 43.13,"An Inaugural Essay on The state of the biliary secretion in fever, :",Title page,"Waddel, William W","",eng,1828,"",Data/0002/378_748_pom_43_13/data/378_748_pom_43_13_TEI.xml
Ms. Codex 1445,Ledger of Concini accounts,"","",Italian,"",1606-1628,Terranuova Bracciolini,Data/0002/mscodex1445/data/mscodex1445_TEI.xml
Ms. Coll. 390 Item 1990,Lakṣmīsahasranāmastotra|लक्ष्मीसहस्रनामस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1990/data/mscoll390_item1990_TEI.xml
378.748 POM 45.5,An Essay on Idiopathic Dyspepsia :,Title page,"Galt, Norborne A","",eng,1829,"",Data/0002/378_748_pom_45_5/data/378_748_pom_45_5_TEI.xml
Oversize Ms. Codex 1683,Alchemical compendium.,"Table of contents, p. iii","","German, with some words in Latin and marginal notes in English",ger,between 1750 and 1799,Germany?,Data/0002/mscodex1683/data/mscodex1683_TEI.xml
Ms. Coll. 390 Item 506,Śrutibodhaṭīkā|श्रुतिबोधटीका,"",Maghava Jyotir,In Sanskrit,san,"","",Data/0002/mscoll390_item506/data/mscoll390_item506_TEI.xml
Ms. Coll. 764 Item 69,Domenico di Bardo power of attorney,"","San Miniato, Bartolomeo di",In Latin,lat,"","",Data/0002/mscoll764_item69/data/mscoll764_item69_TEI.xml
Ms. Coll. 591 Folder 42 Folder 42,Liturgical manuscript fragment,"","",In Latin,lat,1400s,"",Data/0002/mscoll591_f42/data/mscoll591_f42_TEI.xml
Ms. Coll. 390 Item 734,Mīmāṅasāpadārthadīpa|मीमांसापदार्थदीप,"",Campaka Mātha Miśra,In Sanskrit,san,"","",Data/0002/mscoll390_item734/data/mscoll390_item734_TEI.xml
Ms. Coll. 390 Item 1964,Dakṣiṇāmūrtividhāna|दक्षिणामूर्तिविधान,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1964/data/mscoll390_item1964_TEI.xml
Halper 478,Genealogical list from Ezra to Adam,"","",Judeo-Arabic; Hebrew; Arabic,jrb|heb|ara,"",Orient,Data/0002/h478/data/h478_TEI.xml
Ms. Coll. 390 Item 1158,Saṃkṣepaśārīraka.|संक्षेपशारीरक,"",Sarvajñātman|Madhusūdana Sarasvatī,In Sanskrit,san,"","",Data/0002/mscoll390_item1158/data/mscoll390_item1158_TEI.xml
378.748 POM 26.14,An Inaugural Dissertation On Amenorrhoea :,Title page,"Powe, Thomas Ellerbe","",eng,1823,"",Data/0002/378_748_pom_26_14/data/378_748_pom_26_14_TEI.xml
Ms. Codex 982,Oeuvres académiques,"","",French,"",between 1734 and 1752,Lyon,Data/0002/mscodex982/data/mscodex982_TEI.xml
Ms. Coll. 390 Item 350,Sundarakāṇḍa|सुन्दरकाण्ड,"",Vālmīki,In Sanskrit,san,"","",Data/0002/mscoll390_item350/data/mscoll390_item350_TEI.xml
Ms. Coll. 390 Item 162,Sarvatobhadramaṇḍaladevatā|सर्वतोभद्रमण्डलदेवता,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item162/data/mscoll390_item162_TEI.xml
Ms. Coll. 390 Item 1193,Anubhūtiprakāśakaṭhaṭīkā|अनुभूतिप्रकाशकठटीका,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1193/data/mscoll390_item1193_TEI.xml
Ms. Coll. 390 Item 2716,Merutantra|मेरुतन्त्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2716/data/mscoll390_item2716_TEI.xml
Ms. Codex 70,Poesias y obras,"","Hurtado de Mendoza, Diego, 1503-1575",Spanish,spa,ca. 1600,Spain,Data/0002/mscodex70/data/mscodex70_TEI.xml
Ms. Codex 511,Compendium der gantzen hermetischen Philosophie ...,"","",German and Latin,ger|lat,17--,Germany,Data/0002/mscodex511/data/mscodex511_TEI.xml
Ms. Coll. 390 Item 1956a,Mīmāṃsānyāyaprakāśa|मीमांसान्यायप्रकाश,"",Āpadeva,In Sanskrit,san,"","",Data/0002/mscoll390_item1956a/data/mscoll390_item1956a_TEI.xml
Ms. Coll. 390 Item 2524,Śivastotra|शिवस्तोत्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2524/data/mscoll390_item2524_TEI.xml
Ms. Codex 1648,"Del estatuto Toledano, i çierta apologia","","",Spanish,spa,1572,Spain,Data/0002/mscodex1648/data/mscodex1648_TEI.xml
Oversize Ms. Codex 723,Panormia,"Prologue, f. 3r|Description of contents, f. 14r|Beginning of text, f. 16r|Incomplete diagram of affinity, f. 226r","Ivo, Saint, Bishop of Chartres, ca. 1040-1116",Latin,lat,11--,France,Data/0002/mscodex723/data/mscodex723_TEI.xml
Ms. Codex 347,Capitolo de Frati,"","",Italian,"",1754,Italy,Data/0002/mscodex347/data/mscodex347_TEI.xml
Ms. Coll. 390 Item 995,Br̥hadāraṇyakopaniṣad.|बृहदारण्यकोपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item995/data/mscoll390_item995_TEI.xml
Ms. Coll. 390 Item 2140,Cintāmaṇi|चिन्तामणि,"","Gaṅgeśa, active 13th century",In Sanskrit,san,"","",Data/0002/mscoll390_item2140/data/mscoll390_item2140_TEI.xml
Ms. Coll. 390 Item 67,Āśvalāyanagṛhyasūtravṛttiprāraṃbhaḥ|आश्वलायनगृह्यसूत्रवृत्तिप्रारंभः,"",Devasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item67/data/mscoll390_item67_TEI.xml
Misc Mss (Large) Box 2 Folder 4,Miscellaneous manuscripts (Large),"","Gregory XI, Pope, 1329-1378",In Latin,lat,"","",Data/0002/miscmsslarge_gregoryxi/data/miscmsslarge_gregoryxi_TEI.xml
Ms. Codex 175,"Defensa de España, contra las calumnias de Francia","","",Spanish,"",1635,Venice,Data/0002/mscodex175/data/mscodex175_TEI.xml
Ms. Coll. 390 Item 2372,Śrīmahābhārate āraṇyaparvaṇi|श्रीमहाभारते आरण्यपर्वणि,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2372/data/mscoll390_item2372_TEI.xml
Oversize Ms. Codex 949,Registre des marches passes pour la reconstruction et les restaurations du chateau de Cancon,"","",Middle French,frm,1544-1547,Cancon,Data/0002/mscodex949/data/mscodex949_TEI.xml
Ms. Coll. 390 Item 961,Kaivalyopaniṣad|कैवल्योपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item961/data/mscoll390_item961_TEI.xml
Ms. Coll. 390 Item 93,Udu tyaṃ jātavedasaṃ devaṃ|उदुत्यंजातवेदसंदेवं,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item93/data/mscoll390_item93_TEI.xml
Ms. Coll. 390 Item 1731,Tattvabodhinī subanta|तत्त्वबोधिनीसुबन्त,"",Jñānendrasarasvatī,In Sanskrit,san,"","",Data/0002/mscoll390_item1731/data/mscoll390_item1731_TEI.xml
Halper 211,"Haggadah for Passover, probably belonging to a Palestinian rite ; Haftorah blessings ; Birkat ha-mazon","","",Hebrew; Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),heb|arc,"",Orient,Data/0002/h211/data/h211_TEI.xml
Ms. Coll. 390 Item 1503,Ghaṭakharparakāvya|घटखर्परकाव्य,"",Ghaṭakarpara,In Sanskrit,san,"","",Data/0002/mscoll390_item1503/data/mscoll390_item1503_TEI.xml
Halper 23,"2nd Kings 23:3-24:3, with Masorah magna and parva (partial)","","",Hebrew,heb,"",Orient,Data/0002/h023/data/h023_TEI.xml
Ms. Codex 181,Obras líricas,"","",Spanish,"",ca. 1650-1700?,Spain,Data/0002/mscodex181/data/mscodex181_TEI.xml
Ms. Coll. 390 Item 2386,Bhāgavatamahāpurāṇa saptamaskandha|भागवतमहापुराण सप्तमस्कन्ध,"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item2386/data/mscoll390_item2386_TEI.xml
Halper 447,Judeo-Arabic medical treatise,"","",Hebrew,heb,"",Orient,Data/0002/h447/data/h447_TEI.xml
Ms. Coll. 390 Item 1167,Kaṭhopaniṣad|कठोपनिषद्,"",Damodāra,In Sanskrit,san,"","",Data/0002/mscoll390_item1167/data/mscoll390_item1167_TEI.xml
378.748 POM 47.8,An Inaugural Essay on Gonorrhoea /,Title page,"Pearson, Charles","",eng,1828,"",Data/0002/378_748_pom_47_8/data/378_748_pom_47_8_TEI.xml
Oversize Ms. Codex 84,Statuta,"","",Latin,lat,between 1375 and 1399,Italy,Data/0002/mscodex84/data/mscodex84_TEI.xml
Ms. Coll. 390 Item 539,Veṇīsaṃhāra|वेणीसंहार,"",Nārāyaṇa Bhaṭṭa,In Sanskrit,san,"","",Data/0002/mscoll390_item539/data/mscoll390_item539_TEI.xml
Oversize Ms. Codex 2039,Inquisition proceedings against Don Isidro Lopez de Tobar.,"[Proceedings concerning Don Isidro Lopez de Tobar, 1661, 1665]|[Complaint against Don Isidro Lopez de Tobar]|[Proceedings concerning Don Isidro Lopez de Tobar, 1663, 1666]","Leyva, Gerónimo de, 17th century","Spanish, with quotations in Latin",spa|lat,1661-1666,Vigan,Data/0002/mscodex2039/data/mscodex2039_TEI.xml
Ms. Coll. 700 Item 153,Vocabulario de la lengua de los indios de Boruca (Costa Pacífica de Costarica),"","Valentini, Philipp J. J. 1828-1899",Spanish and Boruca; preface in English,spa|cai|eng,between 1862 and 1878,"",Data/0002/mscoll700_item153/data/mscoll700_item153_TEI.xml
Ms. Coll. 390 Item 1355,Praise of Indra,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1355/data/mscoll390_item1355_TEI.xml
Ms. Coll. 390 Item 1709,Liṅgānuśāsanavṛtti|लिङ्गानुशासनवृत्ति,"",Bhaṭṭojī Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item1709/data/mscoll390_item1709_TEI.xml
Halper 229,Seliḥot,"","",Hebrew; Judeo-Arabic,heb|jrb,"",Orient,Data/0002/h229/data/h229_TEI.xml
Ms. Coll. 390 Item 959,Ṛgvedasvaśākhopaniṣad|ऋग्वेदस्वशाखोपनिषद्,"",Manava,In Sanskrit,san,"","",Data/0002/mscoll390_item959/data/mscoll390_item959_TEI.xml
Ms. Coll. 390 Item 165,Dvātriṃśadamarādhaślokāḥ|द्वात्रिंशदमराधश्लोकाः,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item165/data/mscoll390_item165_TEI.xml
378.748 POM 26.13,An Inaugural Dissertation on Amenorrhoea /,Title page,"Butler, Charles G","",eng,1823,"",Data/0002/378_748_pom_26_13/data/378_748_pom_26_13_TEI.xml
Ms. Codex 985,Astronomie ... etc.,"Des mathematiques, f. 1r|Astronomie, f. 4r","",French,"",between 1650 and 1699?,France,Data/0002/mscodex985/data/mscodex985_TEI.xml
Ms. Coll. 390 Item 357,Kathitaikādaśīpauṣaśuklapakṣasya|कथितैकादशीपौषशुक्लपक्षस्य,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item357/data/mscoll390_item357_TEI.xml
Ms. Coll. 390 Item 733,Mīmāṅsārthasaṃgraha|मीमाङ्सार्थसंग्रह,"",Laugākṣi Bhāskara,In Sanskrit,san,"","",Data/0002/mscoll390_item733/data/mscoll390_item733_TEI.xml
Ms. Coll. 591 Folder 45 Folder 45,Theological manuscript fragments,"","",In Latin,lat,1200s or 1300s?,"",Data/0002/mscoll591_f45/data/mscoll591_f45_TEI.xml
Ms. Coll. 390 Item 1963,Śivārcanacandrikā|शिवार्चनचन्द्रिका,"",Appayya Dīkṣita,In Sanskrit,san,"","",Data/0002/mscoll390_item1963/data/mscoll390_item1963_TEI.xml
378.748 POM 45.2,On the Derangement of the Digestive Organs. /,Title page,"Blackwood, Benjamin W","",eng,1828,"",Data/0002/378_748_pom_45_2/data/378_748_pom_45_2_TEI.xml
Ms. Coll. 851,Diary of a Trip on the Nile River,"August 22, 1874|September 3-4, 1874|September 5-6, 1874|September 7-8, 1874|September 9, 1874|September 10, 1874|September 11, 1874|September 12, 1874|September 13, 1874|September 14-15, 1874|September 16, 1874|September 17-18, 1874|September 19-20, 1874|September 21, 1874|September 22, 1874|September 23-24, 1874|September 25-29, 1874|September 30-October 4, 1874|October 5-6, 1874|October 8-10, 1874|October 11-14, 1874|October 15-18, 1874|October 19-20, 1874|October 21, 1874|October 22, 1874|October 23-24, 1874|October 25, 1874|October 26, 1874|October 27, 1874|October 28, 1874|October 29, 1874|October 30, 1874|October 31, 1874|November 1, 1874|November 2-3, 1874|November 4-5, 1874|November 6-8, 1874|November 9-10, 1874|November 11, 1874|November 12, 1874|November 13-15, 1874|November 16, 1874|November 17, 1874|November 18, 1874|November 19, 1874|November 20, 1874|November 21, 1874|November 22, 1874|November 23, 1874|November 24, 1874|November 25, 1874|November 26-27, 1874|November 28-29, 1874|November 30-December 1, 1874|December 2-3, 1874|December 4-6, 1874|December 7-10, 1874|December 11, 1874|December 12, 1874|December 13-15, 1874|December 16, 1874|December 17, 1874|December 18, 1874|December 19-20, 1874|December 21, 1874|December 22, 1874|December 23, 1874|December 24, 1874|December 25, 1874|December 26, 1874|December 27, 1874|December 28-29, 1874|December 30, 1874|December 31, 1874|January 1, 1875|January 2-3, 1875|January 4, 1875|January 5, 1875|January 6, 1875|January 7-8, 1875|January 9, 1875|January 10, 1875|January 11, 1875|January 12, 1875|January 13, 1875|January 14-15, 1875|January 16-18, 1875|January 19, 1875|January 20, 1875|January 21, 1875|January 22, 1875|January 23, 1875|January 24, 1875|January 25, 1875|January 26, 1875|January 27, 1875|January 28, 1875|January 29, 1875|January 30, 1875|January 31, 1875|February 1, 1875|February 2, 1875|February 3, 1875|February 4, 1875|February 5, 1875|February 6, 1875|February 7, 1875|February 8, 1875|February 9, 1875|February 10-11, 1875|February 12, 1875|February 13, 1875|February 14, 1875|February 15, 1875|February 16, 1875|February 17-18, 1875|February 19, 1875|February 20, 1875|February 21, 1875|February 22, 1875|February 23, 1875|February 24, 1875|February 25-26, 1875|February 27, 1875|Newspaper clipping|List of names|Syria: note on expenses","",Primary language: English.,eng,From 1874 to 1875,Nile River,Data/0002/mscoll851/data/mscoll851_TEI.xml
Ms. Codex 1684,Collection of extracts related to the fraternity of the RC.,"Index, p. iii|Blank leaves start|Blank leaves end|Index","","English, with some Latin, a few lines in Greek, and Hebrew characters on leaf laid into manuscript",eng|lat|gre|heb,between 1750 and 1799,England,Data/0002/mscodex1684/data/mscodex1684_TEI.xml
Ms. Coll. 390 Item 501,Āryāsaptaśatī|आर्यासप्तशती,"","Govardhana, active 12th century",In Sanskrit,san,"","",Data/0002/mscoll390_item501/data/mscoll390_item501_TEI.xml
Ms. Codex 48,Rumori di Napoli in tempo del governo del vicere Don Pietro di Toledo :,"","Castaldo, Antonino",Italian,ita,between 1570 and 1650,Italy,Data/0002/mscodex48/data/mscodex48_TEI.xml
Ms. Codex 1442,America meridional,"","",Spanish with numerous passages in Latin and occasional words in Guarani,spa|lat|grn,after 1765,Spain,Data/0002/mscodex1442/data/mscodex1442_TEI.xml
378.748 POM 43.14,An Inaugural Essay on the Circulation of the Blood :,Title page,"Rhoads, Joshua, 1806-1876","",eng,1828,"",Data/0002/378_748_pom_43_14/data/378_748_pom_43_14_TEI.xml
Ms. Codex 529,Anecdoti interessanti di storia e di critica sulla Memoria cattolica...1787,"Anecdoti interessanti, f. 1r|Memoria cattolica offerta alla santita? di N.S. Pio VI P.M....1776, Cosmopoli, f. 27r|Seguito delle osservazioni sul breve di Pio VI condannatorio della Memoria cattolica cosmopolitana, f. 115r|Conclusione dell'editore di questi anecdoti al futuro sommo pontefice, f. 129v|Lettera del cavalier Villegas di Staimbourg consigliere nel supremo consiglio del Brabante, facendo in esso le veci di cancelliere, scritta all'Abb[at]e Lefeller, e stampato nel suo diario sotto di 16 aprile 1790, f. 139r","","Italian, with epigraphs and quotations in Latin",ita|lat,179-,Italy?,Data/0002/mscodex529/data/mscodex529_TEI.xml
378.748 POM 22.23,A Dissertation on Acute Hepatitis :,Title page,"Porter, James","",eng,1824,"",Data/0002/378_748_pom_22_23/data/378_748_pom_22_23_TEI.xml
Ms. Coll. 390 Item 9,Taittirīyasaṃhitā aṣṭaka 3,"","",In Sanskrit (Devanāgari),san,"","",Data/0002/mscoll390_item9/data/mscoll390_item9_TEI.xml
Ms. Coll. 390 Item 1997,Rudrākṣamahimānāma|रुद्राक्षमहिमानाम,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1997/data/mscoll390_item1997_TEI.xml
378.748 POM 26.1,"Dissertation On The Causes, Symptoms and Treatment of Amenorrhoea. :",Title page,"Napier, Elias Wills","",eng,1811,"",Data/0002/378_748_pom_26_1/data/378_748_pom_26_1_TEI.xml
Ms. Coll. 390 Item 1399,Kūpaśāntividhi|कूपशान्तिविधि,"",Baudhāyana,In Sanskrit,san,"","",Data/0002/mscoll390_item1399/data/mscoll390_item1399_TEI.xml
Ms. Codex 1670,Flambeau des vrais rosecroix ou des sages.,"","",French,fre,1798,London,Data/0002/mscodex1670/data/mscodex1670_TEI.xml
Ms. Codex 1214,Tractatus in viii libros Physicorum,"","",Latin,lat,1668,Dillingen,Data/0002/mscodex1214/data/mscodex1214_TEI.xml
Ms. Coll. 390 Item 2178,Brahmagītā|ब्रह्मगीता,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item2178/data/mscoll390_item2178_TEI.xml
Ms. Coll. 390 Item 191,Navagrahahomamahārudra|नवग्रहहोममहारुद्र,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item191/data/mscoll390_item191_TEI.xml
Ms. Codex 1026,"Des medicaments, alterants et preparants","Des medicaments, alterants et preparants, p. 1|De instrumentis medicis, p. 1 [=245]","",French and Latin,fre|lat,ca. 1650,France,Data/0002/mscodex1026/data/mscodex1026_TEI.xml
Ms. Codex 27 v.2,Sharḥ Mukhtaṣar al-Shaykh Khalīl.|شرح مختصر الشيخ خليل,"Sharḥ Mukhtaṣar al-Shaykh Khalīl, v.2","Damīrī, Bahrām ibn ʻAbd Allāh, 1333 or 1334-1402 or 1403|Khalīl ibn Isḥāq al-Jundī, -1365?",Arabic,ara,between 1570 and 1573,Egypt?,Data/0002/mscodex27_v2/data/mscodex27_v2_TEI.xml
Ms. Coll. 225,Benjamin Rush lecture notes,Title page,"Rush, Benjamin, 1745-1813|Bartram, Moses, d. 1791|Overton, James|Spangler, John|Kuhn, Adam, 1741-1817|Curtin, Constans|Simonton, William|Gilder, D|Shippen, William, 1736?-1808|Maxwell, Robert G","",eng,1783-1810,"",Data/0002/mscoll225_box3_f9/data/mscoll225_box3_f9_TEI.xml
Ms. Codex 971,La balance cosmopolitique du ciel de l'humanité à la Newton,"","",French,"",between 1788 and 1795,Switzerland?,Data/0002/mscodex971/data/mscodex971_TEI.xml
Ms. Coll. 700 Item 154,Vocabulario del idioma de los indios blancos (lengua bribri),"","Valentini, Philipp J. J. 1828-1899","Spanish and Bribri, with one note in German (f. 2r)",spa|cai|ger,between 1860 and 1878,"",Data/0002/mscoll700_item154/data/mscoll700_item154_TEI.xml
Ms. Coll. 390 Item 1352,Pavamānahomavidhi|पवमानहोमविधि,"",Śaunaka,In Sanskrit,san,"","",Data/0002/mscoll390_item1352/data/mscoll390_item1352_TEI.xml
Halper 440,"ʹAsarah maʾamarot, V-VI","","",Hebrew; Italian,heb|ita,"",Italy,Data/0002/h440/data/h440_TEI.xml
Ms. Coll. 390 Item 1160,Śikṣopaniṣad|शिक्षोपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item1160/data/mscoll390_item1160_TEI.xml
Oversize Ms. Codex 83,Extracts from and commentaries on Liber bellorum Domini,"","Petrus, de Palude, Patriarch of Jerusalem, d. 1342|Pierre, de Vaux-de-Cernay|Vincent, of Beauvais, d. 1264",Latin,lat,between 1400 and 1425,Spain or France,Data/0002/mscodex83/data/mscodex83_TEI.xml
Ms. Codex 1489,Notebook of Gondi receipts,"","",Italian,"",1662-1685,Florence,Data/0002/mscodex1489/data/mscodex1489_TEI.xml
378.748 POM 5.10,An Inaugural dissertation on Gastritis. /,Title page,"Thomas, John Chew, Jr","",eng,1824,"",Data/0002/378_748_pom_5_10/data/378_748_pom_5_10_TEI.xml
Ms. Coll. 390 Item 1504,Damayantīkathā|दमयन्तीकथा,"","Trivikramabhaṭṭa, active 10th century",In Sanskrit,san,"","",Data/0002/mscoll390_item1504/data/mscoll390_item1504_TEI.xml
Halper 24,"Isaiah 15:1-28:4, with Masorah magna and parva","","",Hebrew,heb,"",Orient,Data/0002/h024/data/h024_TEI.xml
Ms. Codex 186,Comedias,"De los echizos de amor la musica es el mayor, f. 2r|De comedia nosetrate allaba ese disparate, f. 62r|El Domine Lucas, f. 121r [=68r]|German diary entries and notes, f. 195r","","Spanish, with four leaves in German at the end",spa|ger,17--,Spain,Data/0002/mscodex186/data/mscodex186_TEI.xml
Ms. Coll. 390 Item 2381,Śrībhāgavate mahāpurāṇe dvitīyāskandhe daśamodhyāyaḥ|श्रीभागवते महापुराणे द्वितीयास्कन्धे दशमोध्यायः,"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item2381/data/mscoll390_item2381_TEI.xml
Ms. Coll. 390 Item 368,Devīmāhātmya|देवीमाहात्म्य,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item368/data/mscoll390_item368_TEI.xml
Ms. Coll. 390 Item 966,Atharvaṇaśikhānārāyaṇopāniṣad|अथर्वणशिखानारायणोपानिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item966/data/mscoll390_item966_TEI.xml
Ms. Coll. 390 Item 94,Rudranyāsa|रुद्रन्यास,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item94/data/mscoll390_item94_TEI.xml
Ms. Coll. 390 Item 1736,Laghuśabdenduśekhara|लघुशब्देन्दुशेखर,"","Nāgeśabhaṭṭa, active 1670-1750",In Sanskrit,san,"","",Data/0002/mscoll390_item1736/data/mscoll390_item1736_TEI.xml
Halper 216,"Haggadah for Passover, with directions in Judeo-Arabic","","",Judeo-Arabic; Official Aramaic (700-300 BCE); Imperial Aramaic (700-300 BCE),jrb|arc,"",Orient,Data/0002/h216/data/h216_TEI.xml
Ms. Codex 172,"Ordinations que se han de observar en les Escoles de la Universitat, y Regna de Mallorca","","",Catalan,"",1671,Palma de Mallorca,Data/0002/mscodex172/data/mscodex172_TEI.xml
Oversize Ms. Codex 1019,Explanatio librorum physicorum,"","Spezzani, Alfonso",Latin,lat,1591,Italy,Data/0002/mscodex1019/data/mscodex1019_TEI.xml
Ms. Coll. 390 Item 2375,Bhāgavatapurāṇa.|[भागवतपुराण,"",Śrīdharasvāmin,In Sanskrit,san,"","",Data/0002/mscoll390_item2375/data/mscoll390_item2375_TEI.xml
Ms. Codex 1825,Miscellaneous poems /,"","Grierson, Constantia, 1704 or 1705-1733","","",approximately 1727-1733,Dublin,Data/0002/mscodex1825/data/mscodex1825_TEI.xml
Oversize Ms. Codex 340,"Passion of Christ and apocryphal stories, including translations from the Nicodemus Gospel","","",Italian,ita,between 1450 and 1499,Lombardy,Data/0002/mscodex340/data/mscodex340_TEI.xml
Ms. Coll. 390 Item 2147,Jāgādīśīṭīkā|जागदीशीटीका,"",Jagadīśatarkālaṅkāra,In Sanskrit,san,"","",Data/0002/mscoll390_item2147/data/mscoll390_item2147_TEI.xml
Ms. Coll. 390 Item 992,Ātmopaniṣad|आत्मोपनिषद्,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item992/data/mscoll390_item992_TEI.xml
Ms. Coll. 390 Item 60,Tṛcavidhānavidhi|तृचविधानविधि,"","",In Sanskrit,san,"","",Data/0002/mscoll390_item60/data/mscoll390_item60_TEI.xml
378.748 POM 12.21 Pt.2,On Dyspepsia /,Title page,"Knox, John Reynolds","",eng,1827,"",Data/0002/378_748_pom_12_21_pt2/data/378_748_pom_12_21_pt2_TEI.xml
